combo_label,odd1,odd2,combo_odds,legs_summary,,Combination: Match Result (odd1) - Over/Under Corners (odd2)
2-Under 10.5,3.15,1.82,5.8,Match Result: Τότεναμ @ 3.1500  |  Over/Under Corners: Under 10.5 @ 1.8200,,
X-Over 10.5,3.65,1.93,6.9,Match Result: Ισοπαλία @ 3.6500  |  Over/Under Corners: Over 10.5 @ 1.9300,,
X-Under 10.5,3.65,1.82,6.6,Match Result: Ισοπαλία @ 3.6500  |  Over/Under Corners: Under 10.5 @ 1.8200,,
1-Over 10.5,1.47,2.1,3.2,Match Result: Άρσεναλ @ 1.4700  |  Over/Under Corners: Over 10.5 @ 2.1000,,
1-Under 10.5,1.47,1.67,2.3,Match Result: Άρσεναλ @ 1.4700  |  Over/Under Corners: Under 10.5 @ 1.6700,,
2-Over 10.5,7.2,2.1,11.75,Match Result: Φούλαμ @ 7.2000  |  Over/Under Corners: Over 10.5 @ 2.1000,,
2-Under 10.5,7.2,1.67,12.5,Match Result: Φούλαμ @ 7.2000  |  Over/Under Corners: Under 10.5 @ 1.6700,,
X-Over 10.5,4.4,2.1,8.5,Match Result: Ισοπαλία @ 4.4000  |  Over/Under Corners: Over 10.5 @ 2.1000,,
X-Under 10.5,4.4,1.67,8,Match Result: Ισοπαλία @ 4.4000  |  Over/Under Corners: Under 10.5 @ 1.6700,,
1-Over 10.5,1.72,1.95,3.35,Match Result: Τσέλσι @ 1.7200  |  Over/Under Corners: Over 10.5 @ 1.9500,,
